outlet_name,postal_code,onemap_address,planning_area
Singapore Pools Lucky Plaza Branch,238863,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,ORCHARD
Singapore Pools Holland Drive Branch,270046,46 HOLLAND DRIVE SINGAPORE 270046,QUEENSTOWN
Singapore Pools Bukit Panjang Branch,670257,257 BANGKIT ROAD BUKIT PANJANG NEIGHBOURHOOD CENTRE SINGAPORE 670257,BUKIT PANJANG
Singapore Pools Bishan N2 Branch,570279,279 BISHAN STREET 24 SINGAPORE 570279,BISHAN
Singapore Pools Ang Mo Kio N4 Branch,560447,447 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560447,ANG MO KIO
Singapore Pools Anchorvale Road Branch,540308,308 ANCHORVALE ROAD MULTI STOREY CAR PARK SINGAPORE 540308,SENGKANG
Seah Koon Huat - Bukit Merah View,151116,116 BUKIT MERAH VIEW SINGAPORE 151116,BUKIT MERAH
Prime Punggol Field,820108,108 PUNGGOL FIELD SINGAPORE 820108,PUNGGOL
NTUC FairPrice Tanjong Pagar Plaza,81005,5 TANJONG PAGAR PLAZA SINGAPORE 081005,OUTRAM
NTUC FairPrice Bukit Merah Central,150166,166 BUKIT MERAH CENTRAL SINGAPORE 150166,BUKIT MERAH
Metro Woodlands,738099,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,WOODLANDS
Livewire (Resorts World Sentosa),98138,26 SENTOSA GATEWAY SHOWPLACE (RESORTS WORLD SENTOSA) SINGAPORE 098138,SOUTHERN ISLANDS
Cheers Changi Village Road,500004,4 CHANGI VILLAGE ROAD SINGAPORE 500004,CHANGI
Clifford Gift Shop,560532,532 ANG MO KIO AVENUE 10 CHENG SAN CENTRE SINGAPORE 560532,ANG MO KIO
7-Eleven Store Owen Road,210045,45 OWEN ROAD SINGAPORE 210045,KALLANG
Xie Sheng Departmental Service Company,470632,632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632,BEDOK
